1: --- wins 🔵: 1, wins 🔴: 0, no winner: 0   ---   winrate 🔵: 1,000000, winrate 🔴: 0,000000   ---   clean winrate 🔵: 1,000000, clean winrate 🔴: 0,000000 ### player1bias: 1, 1,000000
2: --- wins 🔴: 0, wins 🔵: 2, no winner: 0   ---   winrate 🔴: 0,000000, winrate 🔵: 1,000000   ---   clean winrate 🔴: 0,000000, clean winrate 🔵: 1,000000 ### player1bias: 1, 0,500000
3: --- wins 🔵: 3, wins 🔴: 0, no winner: 0   ---   winrate 🔵: 1,000000, winrate 🔴: 0,000000   ---   clean winrate 🔵: 1,000000, clean winrate 🔴: 0,000000 ### player1bias: 2, 0,666667
4: --- wins 🔴: 0, wins 🔵: 4, no winner: 0   ---   winrate 🔴: 0,000000, winrate 🔵: 1,000000   ---   clean winrate 🔴: 0,000000, clean winrate 🔵: 1,000000 ### player1bias: 2, 0,500000
5: --- wins 🔵: 4, wins 🔴: 0, no winner: 1   ---   winrate 🔵: 0,800000, winrate 🔴: 0,000000   ---   clean winrate 🔵: 1,000000, clean winrate 🔴: 0,000000 ### player1bias: 2, 0,500000
6: --- wins 🔴: 0, wins 🔵: 5, no winner: 1   ---   winrate 🔴: 0,000000, winrate 🔵: 0,833333   ---   clean winrate 🔴: 0,000000, clean winrate 🔵: 1,000000 ### player1bias: 2, 0,400000
7: --- wins 🔵: 6, wins 🔴: 0, no winner: 1   ---   winrate 🔵: 0,857143, winrate 🔴: 0,000000   ---   clean winrate 🔵: 1,000000, clean winrate 🔴: 0,000000 ### player1bias: 3, 0,500000
8: --- wins 🔴: 0, wins 🔵: 6, no winner: 2   ---   winrate 🔴: 0,000000, winrate 🔵: 0,750000   ---   clean winrate 🔴: 0,000000, clean winrate 🔵: 1,000000 ### player1bias: 3, 0,500000
9: --- wins 🔵: 6, wins 🔴: 1, no winner: 2   ---   winrate 🔵: 0,666667, winrate 🔴: 0,111111   ---   clean winrate 🔵: 0,857143, clean winrate 🔴: 0,142857 ### player1bias: 3, 0,428571
10: --- wins 🔴: 2, wins 🔵: 6, no winner: 2   ---   winrate 🔴: 0,200000, winrate 🔵: 0,600000   ---   clean winrate 🔴: 0,250000, clean winrate 🔵: 0,750000 ### player1bias: 4, 0,500000
11: --- wins 🔵: 7, wins 🔴: 2, no winner: 2   ---   winrate 🔵: 0,636364, winrate 🔴: 0,181818   ---   clean winrate 🔵: 0,777778, clean winrate 🔴: 0,222222 ### player1bias: 5, 0,555556
12: --- wins 🔴: 3, wins 🔵: 7, no winner: 2   ---   winrate 🔴: 0,250000, winrate 🔵: 0,583333   ---   clean winrate 🔴: 0,300000, clean winrate 🔵: 0,700000 ### player1bias: 6, 0,600000
13: --- wins 🔵: 8, wins 🔴: 3, no winner: 2   ---   winrate 🔵: 0,615385, winrate 🔴: 0,230769   ---   clean winrate 🔵: 0,727273, clean winrate 🔴: 0,272727 ### player1bias: 7, 0,636364
14: --- wins 🔴: 4, wins 🔵: 8, no winner: 2   ---   winrate 🔴: 0,285714, winrate 🔵: 0,571429   ---   clean winrate 🔴: 0,333333, clean winrate 🔵: 0,666667 ### player1bias: 8, 0,666667
15: --- wins 🔵: 8, wins 🔴: 5, no winner: 2   ---   winrate 🔵: 0,533333, winrate 🔴: 0,333333   ---   clean winrate 🔵: 0,615385, clean winrate 🔴: 0,384615 ### player1bias: 8, 0,615385
16: --- wins 🔴: 6, wins 🔵: 8, no winner: 2   ---   winrate 🔴: 0,375000, winrate 🔵: 0,500000   ---   clean winrate 🔴: 0,428571, clean winrate 🔵: 0,571429 ### player1bias: 9, 0,642857
17: --- wins 🔵: 9, wins 🔴: 6, no winner: 2   ---   winrate 🔵: 0,529412, winrate 🔴: 0,352941   ---   clean winrate 🔵: 0,600000, clean winrate 🔴: 0,400000 ### player1bias: 10, 0,666667
18: --- wins 🔴: 6, wins 🔵: 10, no winner: 2   ---   winrate 🔴: 0,333333, winrate 🔵: 0,555556   ---   clean winrate 🔴: 0,375000, clean winrate 🔵: 0,625000 ### player1bias: 10, 0,625000
19: --- wins 🔵: 11, wins 🔴: 6, no winner: 2   ---   winrate 🔵: 0,578947, winrate 🔴: 0,315789   ---   clean winrate 🔵: 0,647059, clean winrate 🔴: 0,352941 ### player1bias: 11, 0,647059
20: --- wins 🔴: 7, wins 🔵: 11, no winner: 2   ---   winrate 🔴: 0,350000, winrate 🔵: 0,550000   ---   clean winrate 🔴: 0,388889, clean winrate 🔵: 0,611111 ### player1bias: 12, 0,666667
21: --- wins 🔵: 12, wins 🔴: 7, no winner: 2   ---   winrate 🔵: 0,571429, winrate 🔴: 0,333333   ---   clean winrate 🔵: 0,631579, clean winrate 🔴: 0,368421 ### player1bias: 13, 0,684211
